decision_id,final_n,final_best,agree_n16,agree_n32,agree_n64
2024-2024092922gm-00a9-0000-d78d568e-10-s3-d9,64,1,False,True,True
2024-2024092922gm-00a9-0000-d78d568e-11-s1-d4,128,3,False,False,False
2024-2024093020gm-00a9-0000-4385d1bc-01-s3-d7,128,2,False,False,False
2024-2024093020gm-00a9-0000-4385d1bc-02-s3-d4,128,3,True,True,True
2024-2024093020gm-00a9-0000-4385d1bc-02-s3-d8,128,4,False,True,True
2024-2024093020gm-00a9-0000-4385d1bc-03-s1-d19,128,3,True,True,True
2024-2024093020gm-00a9-0000-4385d1bc-03-s3-d7,64,1,True,True,True
2024-2024093020gm-00a9-0000-4385d1bc-04-s2-d15,64,1,False,False,True
2024-2024093020gm-00a9-0000-4385d1bc-04-s2-d2,64,1,True,False,True
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,128,1,True,True,True
2024-2024093020gm-00a9-0000-4385d1bc-08-s2-d0,128,1,False,False,False
2024-2024093020gm-00a9-0000-4385d1bc-09-s3-d0,64,3,True,True,True
2024-2024093020gm-00a9-0000-4385d1bc-10-s1-d7,128,1,True,True,True
2024-2024093020gm-00a9-0000-4385d1bc-11-s3-d0,64,2,False,True,True
2024-2024093020gm-00a9-0000-4385d1bc-13-s1-d6,64,2,False,True,True
2024-2024093020gm-00a9-0000-4385d1bc-14-s3-d14,128,2,True,True,True
2024-2024100103gm-00a9-0000-6b5f32dc-02-s0-d10,64,2,False,False,True
2024-2024100103gm-00a9-0000-6b5f32dc-03-s2-d4,128,4,False,False,False
2024-2024100121gm-00a9-0000-c39c6e95-00-s3-d1,128,1,False,False,False
2024-2024100121gm-00a9-0000-c39c6e95-09-s0-d14,128,3,False,False,False
2024-2024100121gm-00a9-0000-c39c6e95-10-s2-d15,128,2,True,True,True
2024-2024100121gm-00a9-0000-c39c6e95-12-s0-d16,128,4,False,True,False
2024-2024100121gm-00a9-0000-c39c6e95-12-s2-d6,64,2,False,True,True
2024-2024100121gm-00a9-0000-c39c6e95-13-s2-d10,64,1,True,True,True
2024-2024100200gm-00a9-0000-0aacab28-03-s0-d2,128,2,True,False,True
2024-2024100200gm-00a9-0000-0aacab28-04-s1-d0,64,4,False,True,True
2024-2024100200gm-00a9-0000-0aacab28-05-s2-d15,64,3,False,False,True
2024-2024100200gm-00a9-0000-0aacab28-06-s0-d0,64,1,False,True,True
2024-2024100200gm-00a9-0000-0aacab28-09-s0-d2,64,2,True,True,True
2024-2024100200gm-00a9-0000-0aacab28-11-s2-d0,64,2,False,False,True
2024-2024100200gm-00a9-0000-0aacab28-12-s0-d21,64,3,True,True,True
2024-2024100216gm-00a9-0000-2cbf5f5f-01-s1-d6,64,1,True,True,True
2024-2024100216gm-00a9-0000-2cbf5f5f-03-s1-d5,128,4,False,True,True
2024-2024100216gm-00a9-0000-2cbf5f5f-04-s2-d9,64,1,False,True,True
2024-2024100216gm-00a9-0000-2cbf5f5f-05-s3-d9,128,1,False,True,True
2024-2024100219gm-00a9-0000-04bc459d-00-s0-d1,128,1,False,False,True
2024-2024100219gm-00a9-0000-04bc459d-00-s1-d2,128,2,True,True,True
2024-2024100219gm-00a9-0000-04bc459d-02-s1-d6,64,4,False,False,True
2024-2024100219gm-00a9-0000-04bc459d-02-s3-d17,64,2,True,True,True
2024-2024122023gm-00a9-0000-df6602c9-00-s2-d5,64,3,False,True,True
2024-2024122023gm-00a9-0000-df6602c9-02-s2-d15,64,4,True,True,True
2024-2024122101gm-00a9-0000-c77ef6cc-08-s2-d5,64,2,False,False,True
2024-2024122101gm-00a9-0000-c77ef6cc-09-s0-d10,64,1,True,True,True
2024-2024122320gm-00a9-0000-31d91b67-00-s0-d1,64,3,False,False,True
2024-2024122320gm-00a9-0000-31d91b67-09-s3-d7,64,4,True,True,True
2024-2024122403gm-00a9-0000-ea9d4781-07-s1-d8,64,2,False,False,True
2024-2024122418gm-00a9-0000-47dd466b-00-s2-d0,64,2,True,True,True
2024-2024122418gm-00a9-0000-47dd466b-01-s2-d7,64,1,True,True,True
2024-2024122418gm-00a9-0000-47dd466b-03-s1-d5,64,1,False,False,True
2024-2024122418gm-00a9-0000-47dd466b-04-s2-d9,128,4,True,True,True
2024-2024122418gm-00a9-0000-f2e7a0a6-03-s0-d11,64,1,True,True,True
2024-2024122418gm-00a9-0000-f2e7a0a6-06-s0-d5,64,3,False,True,True
2024-2024122510gm-00a9-0000-281f1a32-00-s2-d8,64,3,True,True,True
2024-2024122510gm-00a9-0000-281f1a32-05-s3-d4,64,3,True,True,True
