state_id,game_seed,kyoku_ordinal,chang,ju,honba,riichi_sticks,round_initial_scores,round_end_scores,next_oya,next_round_wind,next_honba,next_kyotaku,end_rank_seat0,end_rank_seat1,end_rank_seat2,end_rank_seat3,score_spread,stage_group,grp_p1_seat0,grp_p2_seat0,grp_p3_seat0,grp_p4_seat0,grp_value_seat0,grp_p1_seat1,grp_p2_seat1,grp_p3_seat1,grp_p4_seat1,grp_value_seat1,grp_p1_seat2,grp_p2_seat2,grp_p3_seat2,grp_p4_seat2,grp_value_seat2,grp_p1_seat3,grp_p2_seat3,grp_p3_seat3,grp_p4_seat3,grp_value_seat3,n,mc_mean_seat0,mc_std_seat0,mc_se_seat0,mc_mean_seat1,mc_std_seat1,mc_se_seat1,mc_mean_seat2,mc_std_seat2,mc_se_seat2,mc_mean_seat3,mc_std_seat3,mc_se_seat3
g20260818_ky03,20260818,3,0,3,0,0,"[26000, 24500, 21200, 28300]","[22100, 20600, 17300, 40000]",3,0,1,0,2,3,4,1,22700,middle,0.10135050117969513,0.32023710012435913,0.3210535943508148,0.2573588192462921,-1.5633491575717926,0.0730244591832161,0.2675260305404663,0.31338754296302795,0.3460618853569031,-2.9138203114271164,0.06268666684627533,0.1988295167684555,0.28303033113479614,0.455453485250473,-4.2644714415073395,0.7065941691398621,0.22448304295539856,0.05142552778124809,0.017497334629297256,7.58319840580225,128,-2.03125,6.198726691702515,0.5478952098031127,-2.84375,6.8071725720152605,0.6016747357973828,-3.59375,6.439833592020324,0.5692062503288117,8.46875,3.159630946255501,0.2792745585180166
g20260818_ky06,20260818,6,1,2,2,0,"[12100, 16000, 40800, 31100]","[10600, 17500, 39300, 32600]",3,1,3,0,4,3,1,2,28700,late,0.0017716409638524055,0.008932173252105713,0.1840151995420456,0.8052810430526733,-8.735426126047969,0.0024617279414087534,0.030604446306824684,0.773124098777771,0.19380982220172882,-4.883559552486986,0.7623472213745117,0.23222854733467102,0.004960741847753525,0.00046353571815416217,8.527908078511246,0.2133479118347168,0.7369166612625122,0.04494249448180199,0.004792908206582069,4.853446703404188,64,-8.6875,2.5,0.3125,-5.3125,2.5,0.3125,8.96875,2.281525179097777,0.2851906473872221,5.03125,2.281525179097777,0.2851906473872221
g20260819_ky05,20260819,5,1,1,0,0,"[13300, 24100, 40900, 21700]","[9300, 36100, 36900, 17700]",1,1,1,0,4,2,1,3,27600,late,0.009009145200252533,0.03384733945131302,0.19308315217494965,0.7640604376792908,-8.187456175684929,0.4177358150482178,0.5166043639183044,0.06116800010204315,0.004491842817515135,5.9541851775720716,0.48072537779808044,0.4501420557498932,0.06468657404184341,0.004445969592779875,6.304616008885205,0.03586416691541672,0.05473808944225311,0.6866722702980042,0.2227255254983902,-4.396350309252739,64,-7.8125,4.272001872658765,0.5340002340823456,5.96875,4.327720724199595,0.5409650905249493,6.4375,4.101393491415884,0.5126741864269855,-4.59375,4.488853036946252,0.5611066296182815
g20260821_ky00,20260821,0,0,0,1,0,"[28000, 24000, 24000, 24000]","[26500, 25500, 22500, 24500]",1,0,2,1,1,2,4,3,4000,early,0.27165207266807556,0.2700369954109192,0.25166770815849304,0.2066432386636734,0.7235654890537262,0.2405179738998413,0.24769429862499237,0.25543779134750366,0.25634992122650146,-0.18929344415664673,0.20032572746276855,0.228211909532547,0.25662705302238464,0.31483525037765503,-1.2587558031082153,0.23442821204662323,0.22136062383651733,0.25035110116004944,0.2938601076602936,-0.7102808654308319,192,0.7604166666666666,7.332413574718459,0.5291713688966712,0.4479166666666667,7.6512597486760505,0.5521821094422333,-1.7604166666666667,7.6332762711539965,0.5508842637436928,0.5520833333333334,7.644413888574158,0.5516880520456505
g20260821_ky01,20260821,1,0,1,2,1,"[26500, 25500, 22500, 24500]","[26500, 25500, 31800, 16200]",2,0,0,0,2,3,1,4,15600,early,0.23925504088401794,0.2860811650753021,0.2950209379196167,0.17964281141757965,0.5603632032871246,0.19597291946411133,0.26545870304107666,0.30088478326797485,0.23768359422683716,-0.5588110685348511,0.35615766048431396,0.3035133481025696,0.21804063022136688,0.12228836119174957,2.6805838644504547,0.12951825559139252,0.13811254501342773,0.2273210883140564,0.5050480961799622,-4.112132579088211,192,1.2604166666666667,7.140687622404994,0.515334740124319,-0.125,7.159001948632474,0.5166564627715018,3.375,6.844954575551342,0.49399204584816603,-4.510416666666667,7.113875228585915,0.5133997222756861
g20260824_ky00,20260824,0,0,0,3,0,"[63700, 12100, 12100, 12100]","[63700, 21000, 3200, 12100]",1,0,0,0,1,2,4,3,60500,early,0.9738357067108154,0.02548571489751339,0.0005514381919056177,0.00012712771422229707,9.836822896788362,0.008531942032277584,0.5741463899612427,0.34260106086730957,0.074720598757267,0.2642947491258383,0.0031094530131667852,0.10458037257194519,0.2690221965312958,0.6232880353927612,-6.859553119633347,0.00597414281219244,0.21351364254951477,0.46424734592437744,0.3162648677825928,-4.105842063203454,64,9.90625,0.75,0.09375,0.40625,5.041789648244248,0.630223706030531,-7.46875,4.425642272462781,0.5532052840578476,-2.84375,5.0370649995333405,0.6296331249416676
g20260824_ky01,20260824,1,0,1,0,0,"[63700, 21000, 3200, 12100]","[62700, 20000, 2200, 15100]",2,0,1,0,1,2,4,3,60500,early,0.9720027446746826,0.027273502200841904,0.0005942954448983073,0.0001295162655878812,9.825449111114722,0.008871074765920639,0.5427531599998474,0.35748404264450073,0.09089167416095734,-0.07912952452898026,0.0030315644107759,0.09398210048675537,0.24084560573101044,0.6621407270431519,-7.17854564730078,0.008928627707064152,0.28881293535232544,0.5022703409194946,0.19998814165592194,-2.7644247617572546,64,9.8125,1.0522085616183026,0.13152607020228782,-0.65625,5.014957785196361,0.6268697231495451,-7.34375,5.176929132033317,0.6471161415041646,-1.8125,5.123475382979799,0.6404344228724749
g20260824_ky02,20260824,2,0,2,1,0,"[62700, 20000, 2200, 15100]","[65000, 19400, 1100, 14500]",3,0,0,0,1,2,4,3,63900,middle,0.9851585030555725,0.014649644494056702,0.00016127247363328934,3.063256008317694e-05,9.909232193036587,0.003959640860557556,0.5926346778869629,0.3411731719970703,0.062232546508312225,0.4231169670820236,0.0013186822179704905,0.07590581476688385,0.21665267646312714,0.7061228156089783,-7.611028780695051,0.005335379857569933,0.28551632165908813,0.5433475971221924,0.16580069065093994,-2.635978209786117,64,10.0,0.0,0.0,0.34375,5.0465098736415746,0.6308137342051968,-8.46875,3.75,0.46875,-1.875,4.244510927759878,0.5305638659699847
g20260824_ky03,20260824,3,0,3,0,0,"[65000, 19400, 1100, 14500]","[64000, 18400, 4100, 13500]",0,1,1,0,1,2,4,3,59900,middle,0.9864230751991272,0.013476326130330563,7.726487092440948e-05,2.3366139430436306e-05,9.917593335634592,0.004057774320244789,0.5460733771324158,0.35990020632743835,0.08996862173080444,-0.11441579088568687,0.00161068351007998,0.11855300515890121,0.27768558263778687,0.6021507382392883,-6.641930857207626,0.005829561967402697,0.27348098158836365,0.4969971477985382,0.22369231283664703,-3.0726921735331416,128,9.90625,0.7470414085857171,0.06602975572976386,0.71875,4.424230882044674,0.39105045727859117,-8.109375,4.080362757919996,0.360656521978284,-2.515625,4.99603681514335,0.4415914388806881
g20260824_ky04,20260824,4,1,0,1,0,"[64000, 18400, 4100, 13500]","[59800, 18400, 3100, 18700]",1,1,0,0,1,3,4,2,56700,middle,0.9789992570877075,0.020695026963949203,0.000243429109104909,6.228133861441165e-05,9.871176148910308,0.003735125996172428,0.4683758616447449,0.43898242712020874,0.08890658617019653,-0.7341408636420965,0.0021300744265317917,0.0735730305314064,0.19082503020763397,0.7334718704223633,-7.782425958663225,0.009100021794438362,0.39702335000038147,0.4935067594051361,0.10036980360746384,-1.2986314557492733,64,10.0,0.0,0.0,-1.6875,4.6218082079540155,0.5777260259942519,-8.375,3.7859388972001824,0.4732423621500228,0.0625,4.924428900898052,0.6155536126122565
