state_id,game_seed,kyoku_ordinal,chang,ju,honba,riichi_sticks,round_initial_scores,round_end_scores,next_oya,next_round_wind,next_honba,next_kyotaku,end_rank_seat0,end_rank_seat1,end_rank_seat2,end_rank_seat3,score_spread,stage_group
g20260838_ky00,20260838,0,0,0,1,0,"[37000, 21000, 21000, 21000]","[31500, 27500, 21000, 20000]",1,0,0,0,1,2,3,4,11500,early
g20260817_ky00,20260817,0,0,0,1,0,"[36600, 13400, 25000, 25000]","[30500, 10300, 20900, 38300]",1,0,0,0,2,4,3,1,28000,early
g20260818_ky01,20260818,1,0,1,0,0,"[24000, 25000, 17000, 34000]","[24000, 25000, 22200, 28800]",2,0,0,0,3,2,4,1,6600,early
g20260823_ky01,20260823,1,0,1,0,0,"[21100, 22000, 33900, 23000]","[19100, 18000, 31900, 31000]",2,0,0,0,3,4,1,2,13900,early
g20260812_ky01,20260812,1,0,1,0,0,"[25000, 25000, 27600, 22400]","[28900, 21100, 27600, 22400]",2,0,0,0,1,4,2,3,7800,early
g20260841_ky00,20260841,0,0,0,1,0,"[43000, 7000, 25000, 25000]","[44500, 8500, 23500, 23500]",0,0,2,0,1,4,2,3,36000,early
g20260813_ky00,20260813,0,0,0,1,0,"[32000, 23000, 23000, 22000]","[27800, 23000, 27200, 22000]",1,0,0,0,1,3,2,4,5800,early
g20260827_ky00,20260827,0,0,0,1,0,"[31000, 23000, 23000, 23000]","[31000, 23000, 16300, 29700]",1,0,0,0,1,3,4,2,14700,early
g20260815_ky01,20260815,1,0,1,0,0,"[19000, 37000, 22000, 22000]","[11300, 37000, 29700, 22000]",2,0,0,0,4,1,2,3,25700,early
g20260823_ky02,20260823,2,0,2,0,0,"[19100, 18000, 31900, 31000]","[15100, 14000, 43900, 27000]",2,0,1,0,3,4,1,2,29900,middle
g20260829_ky01,20260829,1,0,1,0,0,"[23000, 25000, 27000, 25000]","[23000, 26000, 28000, 22000]",1,0,1,1,3,2,1,4,6000,early
g20260822_ky00,20260822,0,0,0,1,1,"[26500, 23500, 23500, 25500]","[26500, 28700, 19300, 25500]",1,0,0,0,2,1,4,3,9400,early
g20260834_ky01,20260834,1,0,1,0,0,"[17000, 33000, 25000, 25000]","[15700, 30400, 30200, 23700]",2,0,0,0,4,1,2,3,14700,early
g20260821_ky00,20260821,0,0,0,1,0,"[28000, 24000, 24000, 24000]","[26500, 25500, 22500, 24500]",1,0,2,1,1,2,4,3,4000,early
g20260816_ky00,20260816,0,0,0,1,0,"[32700, 17300, 25000, 25000]","[32700, 18900, 25000, 23400]",1,0,0,0,1,4,2,3,13800,early
