pair_id,pair_key,state_a,state_b,seat,pair_kind,stage_group,kyoku_ordinal_a,kyoku_ordinal_b,score_diff,grp_value_a,grp_value_b,mc_value_a,mc_value_b,mc_se_a,mc_se_b,delta_grp,delta_mc,delta_mc_se,n_a,n_b
g20260818_ky01|g20260836_ky01|s0,g20260818_ky01|g20260836_ky01,g20260818_ky01,g20260836_ky01,0,hard,early,1,1,0,-0.6398434937000275,-0.5313806533813477,-1.5520833333333333,-0.20833333333333334,0.5330861315944837,0.5508517784229614,-0.10846284031867981,-1.34375,0.7665627863978988,192,192
g20260818_ky01|g20260844_ky00|s0,g20260818_ky01|g20260844_ky00,g20260818_ky01,g20260844_ky00,0,hard,early,1,0,1000,-0.6398434937000275,-0.263979971408844,-1.5520833333333333,1.03125,0.5330861315944837,0.5522397206801216,-0.37586352229118347,-2.583333333333333,0.7675607681449267,192,192
g20260836_ky01|g20260844_ky00|s0,g20260836_ky01|g20260844_ky00,g20260836_ky01,g20260844_ky00,0,hard,early,1,0,1000,-0.5313806533813477,-0.263979971408844,-0.20833333333333334,1.03125,0.5508517784229614,0.5522397206801216,-0.26740068197250366,-1.2395833333333333,0.780004096712702,192,192
g20260821_ky00|g20260828_ky00|s0,g20260821_ky00|g20260828_ky00,g20260821_ky00,g20260828_ky00,0,hard,early,0,0,1500,0.7235654890537262,1.021658331155777,0.7604166666666666,1.875,0.5291713688966712,0.5254485742567789,-0.2980928421020508,-1.1145833333333335,0.7457335595562657,192,192
g20260821_ky00|g20260844_ky00|s0,g20260821_ky00|g20260844_ky00,g20260821_ky00,g20260844_ky00,0,hard,early,0,0,1500,0.7235654890537262,-0.263979971408844,0.7604166666666666,1.03125,0.5291713688966712,0.5522397206801216,0.9875454604625702,-0.27083333333333337,0.7648470740983687,192,192
g20260821_ky01|g20260828_ky00|s0,g20260821_ky01|g20260828_ky00,g20260821_ky01,g20260828_ky00,0,hard,early,1,0,1500,0.5603632032871246,1.021658331155777,1.2604166666666667,1.875,0.515334740124319,0.5254485742567789,-0.46129512786865234,-0.6145833333333333,0.7359796862464896,192,192
g20260821_ky01|g20260844_ky00|s0,g20260821_ky01|g20260844_ky00,g20260821_ky01,g20260844_ky00,0,hard,early,1,0,1500,0.5603632032871246,-0.263979971408844,1.2604166666666667,1.03125,0.515334740124319,0.5522397206801216,0.8243431746959686,0.22916666666666674,0.7553400581697347,192,192
g20260818_ky01|g20260833_ky01|s0,g20260818_ky01|g20260833_ky01,g20260818_ky01,g20260833_ky01,0,hard,early,1,1,2000,-0.6398434937000275,-1.6277239322662354,-1.5520833333333333,-1.59375,0.5330861315944837,0.5237673684158621,0.9878804385662079,0.04166666666666674,0.7473373267244509,192,192
g20260815_ky01|g20260824_ky00|s0,g20260815_ky01|g20260824_ky00,g20260815_ky01,g20260824_ky00,0,easy,early,1,0,52400,-6.276811592280865,9.836822896788362,-6.390625,9.90625,0.4721884225317595,0.09375,-16.113634489069227,-16.296875,0.48140520237429035,128,64
g20260815_ky01|g20260824_ky01|s0,g20260815_ky01|g20260824_ky01,g20260815_ky01,g20260824_ky01,0,easy,early,1,1,51400,-6.276811592280865,9.825449111114722,-6.390625,9.8125,0.4721884225317595,0.13152607020228782,-16.102260703395586,-16.203125,0.49016427197000867,128,64
g20260836_ky04|g20260838_ky04|s0,g20260836_ky04|g20260838_ky04,g20260836_ky04,g20260838_ky04,0,hard,middle,4,4,600,1.0290772914886475,1.3078380078077316,1.6041666666666667,2.28125,0.5386946084572587,0.6118636719492186,-0.27876071631908417,-0.6770833333333333,0.8152110366230945,192,128
g20260811_ky03|g20260833_ky03|s0,g20260811_ky03|g20260833_ky03,g20260811_ky03,g20260833_ky03,0,hard,middle,3,3,800,-0.04380302131175995,-0.8056134581565857,0.484375,-0.6145833333333334,0.5332202781538309,0.555480959124325,0.7618104368448257,1.0989583333333335,0.769988935624486,128,192
g20260811_ky03|g20260844_ky02|s0,g20260811_ky03|g20260844_ky02,g20260811_ky03,g20260844_ky02,0,hard,middle,3,2,800,-0.04380302131175995,0.34281057119369507,0.484375,0.5729166666666666,0.5332202781538309,0.5515768281444033,-0.386613592505455,-0.08854166666666663,0.7671772040280456,128,192
g20260837_ky03|g20260839_ky04|s0,g20260837_ky03|g20260839_ky04,g20260837_ky03,g20260839_ky04,0,hard,middle,3,4,800,3.7060401290655136,3.5605579912662506,3.9375,4.15625,0.5510090511139075,0.5285218276878635,0.145482137799263,-0.21875,0.7635091988653236,128,128
g20260837_ky02|g20260839_ky04|s0,g20260837_ky02|g20260839_ky04,g20260837_ky02,g20260839_ky04,0,hard,middle,2,4,1300,3.730022981762886,3.5605579912662506,5.203125,4.15625,0.5480548296782553,0.5285218276878635,0.16946499049663544,1.046875,0.7613799437049685,128,128
g20260818_ky03|g20260833_ky03|s0,g20260818_ky03|g20260833_ky03,g20260818_ky03,g20260833_ky03,0,hard,middle,3,3,1600,-1.5633491575717926,-0.8056134581565857,-2.03125,-0.6145833333333334,0.5478952098031127,0.555480959124325,-0.7577356994152069,-1.4166666666666665,0.7802232096489292,128,192
g20260833_ky03|g20260844_ky02|s0,g20260833_ky03|g20260844_ky02,g20260833_ky03,g20260844_ky02,0,hard,middle,3,2,1600,-0.8056134581565857,0.34281057119369507,-0.6145833333333334,0.5729166666666666,0.555480959124325,0.5515768281444033,-1.1484240293502808,-1.1875,0.7828129363363387,192,192
g20260836_ky04|g20260838_ky02|s0,g20260836_ky04|g20260838_ky02,g20260836_ky04,g20260838_ky02,0,hard,middle,4,2,1700,1.0290772914886475,1.8011494576931,1.6041666666666667,1.8541666666666667,0.5386946084572587,0.5170499584570436,-0.7720721662044525,-0.25,0.746681016714199,192,192
g20260812_ky02|g20260824_ky02|s0,g20260812_ky02|g20260824_ky02,g20260812_ky02,g20260824_ky02,0,easy,middle,2,2,52600,-5.565757602453232,9.909232193036587,-5.09375,10.0,0.5125681129118507,0.0,-15.474989795489819,-15.09375,0.5125681129118507,128,64
g20260812_ky02|g20260824_ky03|s0,g20260812_ky02|g20260824_ky03,g20260812_ky02,g20260824_ky03,0,easy,middle,2,3,51600,-5.565757602453232,9.917593335634592,-5.09375,9.90625,0.5125681129118507,0.06602975572976386,-15.483350938087824,-15.0,0.5168036368058452,128,128
