decision_id,n_worlds,mean_delta_full,se_delta_full,ci95_lo,ci95_hi,resolution,unresolved_type
2025-2025041520gm-00a9-0000-d292f784-08-s1-d0,128,-0.125,0.4704611157336202,-1.0471037868378956,0.7971037868378956,UNRESOLVED,near_tie
2025-2025041520gm-00a9-0000-d292f784-08-s1-d0,192,-0.010416666666666666,0.3967300339764179,-0.7880075332604456,0.7671741999271123,UNRESOLVED,near_tie
2025-2025041520gm-00a9-0000-d292f784-08-s1-d0,256,-0.1328125,0.34173281525044547,-0.8026088178908731,0.5369838178908731,UNRESOLVED,near_tie
2024-2024091915gm-00a9-0000-7030187d-08-s1-d0,64,-0.09375,0.32559374183516215,-0.7319137339969178,0.5444137339969178,UNRESOLVED,near_tie
2024-2024091915gm-00a9-0000-7030187d-08-s1-d0,128,-0.09375,0.18139249082678824,-0.44927928202050493,0.26177928202050493,UNRESOLVED,near_tie
2024-2024091915gm-00a9-0000-7030187d-08-s1-d0,192,-0.09375,0.13234449739373905,-0.3531452148917285,0.1656452148917285,UNRESOLVED,near_tie
2024-2024091915gm-00a9-0000-7030187d-08-s1-d0,256,-0.0234375,0.10985865577817369,-0.23876046532522044,0.19188546532522044,UNRESOLVED,near_tie
2024-2024092013gm-00a9-0000-9cd6d54a-08-s3-d12,64,-0.3125,0.4323678576001161,-1.1599410008962274,0.5349410008962275,UNRESOLVED,near_tie
2024-2024092013gm-00a9-0000-9cd6d54a-08-s3-d12,128,-0.375,0.2856044150389902,-0.9347846534764208,0.1847846534764208,UNRESOLVED,near_tie
2024-2024092013gm-00a9-0000-9cd6d54a-08-s3-d12,192,-0.5833333333333334,0.23945169575827294,-1.0526586570195482,-0.11400800964711844,REJECTED,
2024-2024092013gm-00a9-0000-9cd6d54a-08-s3-d12,256,-0.4296875,0.20519950743685628,-0.8318785345762383,-0.027496465423761718,REJECTED,
2024-2024092922gm-00a9-0000-d78d568e-10-s0-d14,64,1.65625,0.7837064555889188,0.12018534704571904,3.192314652954281,SUPPORTED,
2024-2024092922gm-00a9-0000-d78d568e-10-s0-d14,128,1.53125,0.519067709368873,0.513877289637009,2.548622710362991,SUPPORTED,
2024-2024123104gm-00a9-0000-f69869df-01-s0-d12,64,-0.40625,1.1634135661887666,-2.6865405897299826,1.8740405897299826,UNRESOLVED,near_tie
2024-2024123104gm-00a9-0000-f69869df-01-s0-d12,128,1.1875,0.8221339802587306,-0.423882601307112,2.798882601307112,UNRESOLVED,high_variance
2024-2024123104gm-00a9-0000-f69869df-01-s0-d12,192,0.3229166666666667,0.6560560601540567,-0.9629532112352843,1.6087865445686178,UNRESOLVED,near_tie
2024-2024123104gm-00a9-0000-f69869df-01-s0-d12,256,0.890625,0.5533562023718821,-0.1939531566488888,1.9752031566488888,UNRESOLVED,high_variance
2025-2025011223gm-00a9-0000-7704598d-09-s2-d11,64,-0.1875,0.13152607020228782,-0.4452910975964841,0.07029109759648411,UNRESOLVED,near_tie
2025-2025011223gm-00a9-0000-7704598d-09-s2-d11,128,-0.109375,0.1442953857250308,-0.3921939560210604,0.17344395602106039,UNRESOLVED,near_tie
2025-2025011223gm-00a9-0000-7704598d-09-s2-d11,192,0.052083333333333336,0.11482106862241262,-0.17296596116659538,0.27713262783326204,UNRESOLVED,near_tie
2025-2025011223gm-00a9-0000-7704598d-09-s2-d11,256,0.0625,0.09514887715327708,-0.12399179922042308,0.24899179922042308,UNRESOLVED,near_tie
2025-2025041217gm-00a9-0000-a3087215-06-s0-d11,64,-0.3125,0.7730823048033113,-1.82774131741449,1.20274131741449,UNRESOLVED,near_tie
2025-2025041217gm-00a9-0000-a3087215-06-s0-d11,128,0.453125,0.49565774112149347,-0.5183641725981272,1.4246141725981272,UNRESOLVED,near_tie
2025-2025041217gm-00a9-0000-a3087215-06-s0-d11,192,0.7083333333333334,0.38908491485984786,-0.05427309979196848,1.4709397664586352,UNRESOLVED,high_variance
2025-2025041217gm-00a9-0000-a3087215-06-s0-d11,256,0.890625,0.33277229516430834,0.23839130147795562,1.5428586985220445,SUPPORTED,
2025-2025041612gm-00a9-0000-17df09bd-03-s3-d0,64,-1.0625,0.9139231129308452,-2.8537893013444564,0.7287893013444564,UNRESOLVED,high_variance
2025-2025041612gm-00a9-0000-17df09bd-03-s3-d0,128,-0.28125,0.6118636719492186,-1.4805027970204685,0.9180027970204685,UNRESOLVED,near_tie
2025-2025041612gm-00a9-0000-17df09bd-03-s3-d0,192,-0.3854166666666667,0.44797754162412295,-1.2634526482499477,0.4926193149166143,UNRESOLVED,near_tie
2025-2025041612gm-00a9-0000-17df09bd-03-s3-d0,256,-0.5703125,0.40721010933723895,-1.3684443143009883,0.22781931430098834,UNRESOLVED,high_variance
2025-2025123119gm-00a9-0000-4c392a7b-04-s3-d10,64,0.46875,0.8657300198456241,-1.2280808388974234,2.1655808388974234,UNRESOLVED,near_tie
2025-2025123119gm-00a9-0000-4c392a7b-04-s3-d10,128,0.34375,0.5416280207796683,-0.71784092072815,1.40534092072815,UNRESOLVED,near_tie
2025-2025123119gm-00a9-0000-4c392a7b-04-s3-d10,192,-0.03125,0.46035605446268846,-0.9335478667468694,0.8710478667468694,UNRESOLVED,near_tie
2025-2025123119gm-00a9-0000-4c392a7b-04-s3-d10,256,-0.3984375,0.420145271601844,-1.2219222323396144,0.4250472323396143,UNRESOLVED,near_tie
